query,response,label
"What's your return policy?","Our return policy allows returns within 30 days of purchase. Visit returns.company.com to start your return. You'll receive a full refund within 5-7 business days.","pass"
"How do I track my order?","Your order has shipped. Please check your email for tracking information.","pass"
"Can I change my shipping address?","You can update your shipping address by logging into your account and going to orders, but only if it hasn't shipped yet.","pass"
"I received a damaged item","Please follow the return process to return damaged items. You will receive a refund.","fail"
"What's your return policy?","We don't accept returns. All sales are final.","fail"
"How long does shipping take?","Shipping takes 3-5 business days for standard delivery or 1-2 business days for express.","pass"
"Do you ship internationally?","Yes, we ship to most countries. International shipping takes 7-14 business days.","pass"
"Can I cancel my order?","If your order hasn't shipped yet, contact our support team to cancel it.","fail"
"What payment methods do you accept?","We accept all major credit cards, PayPal, and Apple Pay.","pass"
"Is there a warranty on products?","Most products come with a 1-year manufacturer warranty. Check your product page for details.","pass"
"How do I return a damaged item?","I'm sorry to hear that! Visit returns.company.com, select 'Damaged Item', upload photos, and you'll get a prepaid label within 1 hour. You'll receive a full refund within 3-5 business days.","pass"
"Can I exchange an item instead of returning it?","Yes! During the return process at returns.company.com, select 'Exchange' instead of 'Refund' and choose your replacement item.","pass"
"What if my package is lost?","Please visit company.com/contact for assistance with lost packages.","fail"
"How do I update my account email?","Log into your account, click Settings, then Account Info, and update your email address there.","pass"
"Do you offer gift wrapping?","Yes, you can add gift wrapping during checkout for $5. It includes a gift message card.","pass"
